REF_DATE,GEO,DGUID,Educational qualification,Field of study,Gender,Age group,Status of student in Canada,Characteristics after graduation,Graduate statistics,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
2020,Canada,2016A11124,"Career, technical or professional training certificate",Health care [b.5],"Total, gender",15 to 34 years ,International students,Graduates reporting employment income,Median employment income,2022 constant dollars,439,units,0,v1512138477,1.2.25.1.2.3.4.2,39400,,,,0
2018,Canada,2016A11124,"Career, technical or professional training certificate",Education and teaching [b.6],"Total, gender",15 to 34 years ,International students,Graduates reporting employment income,Number of graduates,Number,223,units,0,v1512138937,1.2.30.1.2.3.4.1,10,,,,0
2019,Canada,2016A11124,"Career, technical or professional training certificate",Education and teaching [b.6],"Total, gender",15 to 34 years ,International students,Graduates reporting employment income,Number of graduates,Number,223,units,0,v1512138937,1.2.30.1.2.3.4.1,0,,,,0
2020,Canada,2016A11124,"Career, technical or professional training certificate",Education and teaching [b.6],"Total, gender",15 to 34 years ,International students,Graduates reporting employment income,Number of graduates,Number,223,units,0,v1512138937,1.2.30.1.2.3.4.1,10,,,,0
2018,Canada,2016A11124,"Career, technical or professional training certificate",Education and teaching [b.6],"Total, gender",15 to 34 years ,International students,Graduates reporting employment income,Median employment income,2022 constant dollars,439,units,0,v1512138938,1.2.30.1.2.3.4.2,,x,,,0
2019,Canada,2016A11124,"Career, technical or professional training certificate",Education and teaching [b.6],"Total, gender",15 to 34 years ,International students,Graduates reporting employment income,Median employment income,2022 constant dollars,439,units,0,v1512138938,1.2.30.1.2.3.4.2,,x,,,0
2020,Canada,2016A11124,"Career, technical or professional training certificate",Education and teaching [b.6],"Total, gender",15 to 34 years ,International students,Graduates reporting employment income,Median employment income,2022 constant dollars,439,units,0,v1512138938,1.2.30.1.2.3.4.2,,x,,,0
2018,Canada,2016A11124,"Career, technical or professional training certificate","Trades, services, natural resources and conservation [b.7]","Total, gender",15 to 34 years ,International students,Graduates reporting employment income,Number of graduates,Number,223,units,0,v1512139063,1.2.32.1.2.3.4.1,870,,,,0
2019,Canada,2016A11124,"Career, technical or professional training certificate","Trades, services, natural resources and conservation [b.7]","Total, gender",15 to 34 years ,International students,Graduates reporting employment income,Number of graduates,Number,223,units,0,v1512139063,1.2.32.1.2.3.4.1,1070,,,,0
2020,Canada,2016A11124,"Career, technical or professional training certificate","Trades, services, natural resources and conservation [b.7]","Total, gender",15 to 34 years ,International students,Graduates reporting employment income,Number of graduates,Number,223,units,0,v1512139063,1.2.32.1.2.3.4.1,1080,,,,0
2018,Canada,2016A11124,"Career, technical or professional training certificate","Trades, services, natural resources and conservation [b.7]","Total, gender",15 to 34 years ,International students,Graduates reporting employment income,Median employment income,2022 constant dollars,439,units,0,v1512139064,1.2.32.1.2.3.4.2,33200,,,,0
2019,Canada,2016A11124,"Career, technical or professional training certificate","Trades, services, natural resources and conservation [b.7]","Total, gender",15 to 34 years ,International students,Graduates reporting employment income,Median employment income,2022 constant dollars,439,units,0,v1512139064,1.2.32.1.2.3.4.2,36800,,,,0
2020,Canada,2016A11124,"Career, technical or professional training certificate","Trades, services, natural resources and conservation [b.7]","Total, gender",15 to 34 years ,International students,Graduates reporting employment income,Median employment income,2022 constant dollars,439,units,0,v1512139064,1.2.32.1.2.3.4.2,36600,,,,0
2018,Canada,2016A11124,"Career, technical or professional training diploma","Total, field of study","Total, gender",15 to 34 years ,International students,Graduates reporting employment income,Number of graduates,Number,223,units,0,v1512139630,1.3.1.1.2.3.4.1,18310,,,,0
2019,Canada,2016A11124,"Career, technical or professional training diploma","Total, field of study","Total, gender",15 to 34 years ,International students,Graduates reporting employment income,Number of graduates,Number,223,units,0,v1512139630,1.3.1.1.2.3.4.1,27290,,,,0
2020,Canada,2016A11124,"Career, technical or professional training diploma","Total, field of study","Total, gender",15 to 34 years ,International students,Graduates reporting employment income,Number of graduates,Number,223,units,0,v1512139630,1.3.1.1.2.3.4.1,31240,,,,0
2018,Canada,2016A11124,"Career, technical or professional training diploma","Total, field of study","Total, gender",15 to 34 years ,International students,Graduates reporting employment income,Median employment income,2022 constant dollars,439,units,0,v1512139631,1.3.1.1.2.3.4.2,39500,,,,0
2019,Canada,2016A11124,"Career, technical or professional training diploma","Total, field of study","Total, gender",15 to 34 years ,International students,Graduates reporting employment income,Median employment income,2022 constant dollars,439,units,0,v1512139631,1.3.1.1.2.3.4.2,40700,,,,0
2020,Canada,2016A11124,"Career, technical or professional training diploma","Total, field of study","Total, gender",15 to 34 years ,International students,Graduates reporting employment income,Median employment income,2022 constant dollars,439,units,0,v1512139631,1.3.1.1.2.3.4.2,40600,,,,0
2018,Canada,2016A11124,"Career, technical or professional training diploma",STEM [a],"Total, gender",15 to 34 years ,International students,Graduates reporting employment income,Number of graduates,Number,223,units,0,v1512139693,1.3.2.1.2.3.4.1,6390,,,,0
2019,Canada,2016A11124,"Career, technical or professional training diploma",STEM [a],"Total, gender",15 to 34 years ,International students,Graduates reporting employment income,Number of graduates,Number,223,units,0,v1512139693,1.3.2.1.2.3.4.1,9340,,,,0
2020,Canada,2016A11124,"Career, technical or professional training diploma",STEM [a],"Total, gender",15 to 34 years ,International students,Graduates reporting employment income,Number of graduates,Number,223,units,0,v1512139693,1.3.2.1.2.3.4.1,9360,,,,0
2018,Canada,2016A11124,"Career, technical or professional training diploma",STEM [a],"Total, gender",15 to 34 years ,International students,Graduates reporting employment income,Median employment income,2022 constant dollars,439,units,0,v1512139694,1.3.2.1.2.3.4.2,43400,,,,0
2019,Canada,2016A11124,"Career, technical or professional training diploma",STEM [a],"Total, gender",15 to 34 years ,International students,Graduates reporting employment income,Median employment income,2022 constant dollars,439,units,0,v1512139694,1.3.2.1.2.3.4.2,43000,,,,0
2020,Canada,2016A11124,"Career, technical or professional training diploma",STEM [a],"Total, gender",15 to 34 years ,International students,Graduates reporting employment income,Median employment income,2022 constant dollars,439,units,0,v1512139694,1.3.2.1.2.3.4.2,44000,,,,0
2018,Canada,2016A11124,"Career, technical or professional training diploma",Science and science technology [a.1],"Total, gender",15 to 34 years ,International students,Graduates reporting employment income,Number of graduates,Number,223,units,0,v1512139756,1.3.3.1.2.3.4.1,1010,,,,0
2019,Canada,2016A11124,"Career, technical or professional training diploma",Science and science technology [a.1],"Total, gender",15 to 34 years ,International students,Graduates reporting employment income,Number of graduates,Number,223,units,0,v1512139756,1.3.3.1.2.3.4.1,1410,,,,0
2020,Canada,2016A11124,"Career, technical or professional training diploma",Science and science technology [a.1],"Total, gender",15 to 34 years ,International students,Graduates reporting employment income,Number of graduates,Number,223,units,0,v1512139756,1.3.3.1.2.3.4.1,1480,,,,0
2018,Canada,2016A11124,"Career, technical or professional training diploma",Science and science technology [a.1],"Total, gender",15 to 34 years ,International students,Graduates reporting employment income,Median employment income,2022 constant dollars,439,units,0,v1512139757,1.3.3.1.2.3.4.2,41300,,,,0
2019,Canada,2016A11124,"Career, technical or professional training diploma",Science and science technology [a.1],"Total, gender",15 to 34 years ,International students,Graduates reporting employment income,Median employment income,2022 constant dollars,439,units,0,v1512139757,1.3.3.1.2.3.4.2,41900,,,,0
2020,Canada,2016A11124,"Career, technical or professional training diploma",Science and science technology [a.1],"Total, gender",15 to 34 years ,International students,Graduates reporting employment income,Median employment income,2022 constant dollars,439,units,0,v1512139757,1.3.3.1.2.3.4.2,42700,,,,0
2018,Canada,2016A11124,"Career, technical or professional training diploma",Engineering and engineering technology [a.2],"Total, gender",15 to 34 years ,International students,Graduates reporting employment income,Number of graduates,Number,223,units,0,v1512140008,1.3.7.1.2.3.4.1,3470,,,,0
2019,Canada,2016A11124,"Career, technical or professional training diploma",Engineering and engineering technology [a.2],"Total, gender",15 to 34 years ,International students,Graduates reporting employment income,Number of graduates,Number,223,units,0,v1512140008,1.3.7.1.2.3.4.1,4680,,,,0
2020,Canada,2016A11124,"Career, technical or professional training diploma",Engineering and engineering technology [a.2],"Total, gender",15 to 34 years ,International students,Graduates reporting employment income,Number of graduates,Number,223,units,0,v1512140008,1.3.7.1.2.3.4.1,4830,,,,0
2018,Canada,2016A11124,"Career, technical or professional training diploma",Engineering and engineering technology [a.2],"Total, gender",15 to 34 years ,International students,Graduates reporting employment income,Median employment income,2022 constant dollars,439,units,0,v1512140009,1.3.7.1.2.3.4.2,44900,,,,0
2019,Canada,2016A11124,"Career, technical or professional training diploma",Engineering and engineering technology [a.2],"Total, gender",15 to 34 years ,International students,Graduates reporting employment income,Median employment income,2022 constant dollars,439,units,0,v1512140009,1.3.7.1.2.3.4.2,44800,,,,0
2020,Canada,2016A11124,"Career, technical or professional training diploma",Engineering and engineering technology [a.2],"Total, gender",15 to 34 years ,International students,Graduates reporting employment income,Median employment income,2022 constant dollars,439,units,0,v1512140009,1.3.7.1.2.3.4.2,45400,,,,0
2018,Canada,2016A11124,"Career, technical or professional training diploma",Mathematics and computer and information sciences [a.3],"Total, gender",15 to 34 years ,International students,Graduates reporting employment income,Number of graduates,Number,223,units,0,v1512140219,1.3.10.1.2.3.4.1,1910,,,,0
2019,Canada,2016A11124,"Career, technical or professional training diploma",Mathematics and computer and information sciences [a.3],"Total, gender",15 to 34 years ,International students,Graduates reporting employment income,Number of graduates,Number,223,units,0,v1512140219,1.3.10.1.2.3.4.1,3260,,,,0
2020,Canada,2016A11124,"Career, technical or professional training diploma",Mathematics and computer and information sciences [a.3],"Total, gender",15 to 34 years ,International students,Graduates reporting employment income,Number of graduates,Number,223,units,0,v1512140219,1.3.10.1.2.3.4.1,3060,,,,0
2018,Canada,2016A11124,"Career, technical or professional training diploma",Mathematics and computer and information sciences [a.3],"Total, gender",15 to 34 years ,International students,Graduates reporting employment income,Median employment income,2022 constant dollars,439,units,0,v1512140220,1.3.10.1.2.3.4.2,42400,,,,0
2019,Canada,2016A11124,"Career, technical or professional training diploma",Mathematics and computer and information sciences [a.3],"Total, gender",15 to 34 years ,International students,Graduates reporting employment income,Median employment income,2022 constant dollars,439,units,0,v1512140220,1.3.10.1.2.3.4.2,41100,,,,0
2020,Canada,2016A11124,"Career, technical or professional training diploma",Mathematics and computer and information sciences [a.3],"Total, gender",15 to 34 years ,International students,Graduates reporting employment income,Median employment income,2022 constant dollars,439,units,0,v1512140220,1.3.10.1.2.3.4.2,43000,,,,0
2018,Canada,2016A11124,"Career, technical or professional training diploma",BHASE [b],"Total, gender",15 to 34 years ,International students,Graduates reporting employment income,Number of graduates,Number,223,units,0,v1512140534,1.3.13.1.2.3.4.1,11950,,,,0
2019,Canada,2016A11124,"Career, technical or professional training diploma",BHASE [b],"Total, gender",15 to 34 years ,International students,Graduates reporting employment income,Number of graduates,Number,223,units,0,v1512140534,1.3.13.1.2.3.4.1,17930,,,,0
2020,Canada,2016A11124,"Career, technical or professional training diploma",BHASE [b],"Total, gender",15 to 34 years ,International students,Graduates reporting employment income,Number of graduates,Number,223,units,0,v1512140534,1.3.13.1.2.3.4.1,21880,,,,0
2018,Canada,2016A11124,"Career, technical or professional training diploma",BHASE [b],"Total, gender",15 to 34 years ,International students,Graduates reporting employment income,Median employment income,2022 constant dollars,439,units,0,v1512140535,1.3.13.1.2.3.4.2,37300,,,,0
2019,Canada,2016A11124,"Career, technical or professional training diploma",BHASE [b],"Total, gender",15 to 34 years ,International students,Graduates reporting employment income,Median employment income,2022 constant dollars,439,units,0,v1512140535,1.3.13.1.2.3.4.2,39500,,,,0
